products_id;countries_id
1;151
10;137
11;137
150;55
0;151
151;118
152;118
153;33
154;33
155;153
156;33
157;33
158;30
159;69
160;121
161;151
162;33
163;33
164;62
165;33
166;33
167;33
168;33
169;116
170;116
171;116
172;30
173;121
0;62
174;55
175;55
176;55
177;62
178;62
179;62
180;62
182;2
183;30
184;30
185;30
186;30
187;30
190;69
191;151
0;44
0;151
192;151
193;30
194;151
195;134
196;134
197;151
202;21
203;151
208;70
209;70
211;2
212;2
215;115
216;41
217;33
218;33
219;33
222;137
223;137
224;30
226;24
227;62
228;62
229;50
230;50
231;105
232;62
233;150
234;33
235;21
236;21
237;118
238;118
239;62
240;111
241;111
242;21
243;118
244;118
245;55
246;62
247;21
251;62
253;151
256;62
257;62
259;55
260;33
261;69
262;33
263;156
264;30
265;30
266;137
267;153
268;30
269;62
270;151
271;30
272;62
273;30
274;134
275;111
276;62
277;62
278;111
279;2
280;111
281;33
282;62
283;62
284;134
285;2
286;62
287;62
288;44
289;62
290;62
291;62
292;62
293;62
294;62
295;62
296;62
297;62
298;62
299;62
300;33
301;89
302;89
303;89
304;33
305;33
306;33
307;33
308;33
309;33
310;33
311;33
312;33
313;33
314;33
315;33
316;33
317;33
318;33
319;33
320;62
321;62
322;33
323;2
324;138
325;138
326;117
327;138
328;137
329;121
330;121
331;10
332;159
333;55
334;116
335;21
336;55
337;33
338;151
339;62
340;116
341;55
342;122
343;55
344;121
345;137
346;33
347;62
348;33
349;62
350;62
351;62
352;62
353;62
354;33
355;62
356;62
357;33
358;33
359;62
360;62
361;62
362;150
363;150
364;27
365;27
366;150
367;150
368;62
369;62
370;62
371;62
372;62
373;62
374;62
375;62
376;62
377;30
378;62
379;111
380;62
381;111
382;30
383;111
384;62
385;30
386;62
387;30
388;62
389;111
390;62
391;30
392;62
393;35
393;116
394;35
394;116
395;35
395;116
396;127
397;127
398;127
399;115
400;41
401;119
402;41
403;33
404;33
405;33
406;33
407;33
408;89
409;62
410;62
411;62
412;33
413;33
414;27
415;161
416;2
417;151
418;121
419;121
420;138
421;137
422;62
423;62
424;137
425;62
426;137
427;137
428;138
429;138
430;138
431;138
432;138
433;27
434;27
435;10
436;62
437;72
438;62
439;62
440;62
441;21
442;159
443;62
444;151
445;55
446;121
447;150
448;150
449;151
450;30
451;27
452;151
453;151
454;62
455;151
456;62
457;111
458;151
459;115
460;21
461;115
462;115
463;26
464;69
465;33
466;33
467;33
468;33
469;33
470;33
471;33
472;33
473;33
474;33
475;33
476;33
477;33
478;62
479;111
480;62
481;33
482;33
483;62
484;55
485;21
486;149
487;33
488;33
489;149
491;33
492;62
493;33
494;111
495;33
496;33
497;33
498;111
499;33
500;154
501;33
502;33
503;33
504;33
505;33
506;33
507;33
508;33
509;33
510;33
511;33
512;33
513;62
514;149
515;55
516;62
517;33
518;33
519;33
520;33
521;33
522;33
523;33
524;2
525;111
526;70
527;154
528;33
529;33
530;33
531;111
532;62
533;33
534;33
535;111
536;111
537;22
538;121
539;154
540;33
541;33
542;33
543;111
544;33
545;111
546;111
547;111
549;129
554;111
555;111
556;111
557;151
558;151
559;116
560;33
561;33
562;33
563;3
564;111
567;145
568;145
569;111
570;137
571;137
572;137
573;111
575;138
577;145
578;145
579;138
583;3
584;50
585;111
587;111
589;137
590;22
592;111
594;89
595;89
597;33
598;145
599;138
600;145
612;62
615;111
616;111
617;111
619;62
620;111
621;62
622;33
623;33
624;62
625;111
626;44
627;44
628;33
629;62
630;62
631;62
632;62
633;62
634;62
635;62
636;62
637;62
638;62
639;62
640;33
641;64
642;33
643;159
644;64
645;64
646;64
647;62
648;64
649;159
650;64
651;64
652;64
653;62
654;44
655;44
656;62
657;64
658;64
659;64
660;64
661;64
662;64
663;64
664;137
665;44
666;30
667;33
668;161
688;137
689;137
690;62
691;30
692;159
693;151
694;30
695;27
696;159
697;151
698;159
699;111
700;139
701;26
702;159
703;30
704;30
706;159
707;117
709;105
710;105
711;105
712;105
713;105
714;105
715;105
716;105
717;105
718;17
719;17
720;17
721;105
722;17
723;64
724;64
725;64
726;64
727;64
728;64
729;64
730;64
731;64
732;64
733;64
734;64
735;64
736;64
737;64
738;64
740;64
741;64
764;33
765;33
766;33
767;33
0;44
0;44
