﻿code;label;categorie;baseFactor;plural
Stk;Stück;Anzahl;1;Stücke
kcal;Kilokalorie;Energie;1;Kilokalorien
g;Gramm;Masse;1;Gramm
kg;Kilogramm;Masse;1000;Kilogramm
mg;Milligramm;Masse;0.001;Milligramm
ug;Mikrogramm;Masse;0.000001;Mikrogramm
t;Tonne;Masse;1000000;Tonnen
oz;Unze;Masse;28.35;Unzen
lb;Pfund;Masse;453.59;Pfund
Pr.;Prise;Masse;0.5;Prisen
Hch.;Hauch;Masse;0.3;Hauch
Lsp.;Löffelspitze;Masse;0.2;Löffelspitzen
Msp.;Messerspitze;Masse;0.4;Messerspitzen
L;Liter;Volumen;1;Liter
ml;Milliliter;Volumen;0.001;Milliliter
cl;Centiliter;Volumen;0.01;Centiliter
dl;Deziliter;Volumen;0.1;Deziliter
EL;Esslöffel;Volumen;15;Esslöffel
TL;Teelöffel;Volumen;5;Teelöffel
c;Cup;Volumen;0.2366;Cups
Bch.;Becher;Volumen;0.25;Becher
Gl.;Glas;Volumen;0.2;Gläser
T.;Tasse;Volumen;0.15;Tassen
Spr.;Spritzer;Volumen;0.002;Spritzer
Klx.;Klecks;Volumen;0.01;Kleckse
Tr.;Tropfen;Volumen;0.00005;Tropfen
Schl.;Schluck;Volumen;0.02;Schlücke
s;Sekunde;Zeit;1;Sekunden
min;Minute;Zeit;60;Minuten
h;Stunde;Zeit;60;Stunden
d;Tag;Zeit;24;Tage
°C;Grad Celsius;Temperatur;1;Grad Celsius
°F;Grad Fahrenheit;Temperatur;1;Grad Fahrenheit
K;Kelvin;Temperatur;1;Kelvin
Port.;Portion;Anzahl;1;Portionen
%;Prozent;Anzahl;1;Prozent
Kn.;Knolle;Anzahl;1;Knollen
Kpf.;Kopf;Anzahl;1;Köpfe
Zh.;Zehe;Anzahl;1;Zehen
Rüb.;Rübe;Anzahl;1;Rüben
Scht.;Schote;Anzahl;1;Schoten
Stg.;Stange;Anzahl;1;Stangen
Stgl.;Stängel;Anzahl;1;Stängel
Bl.;Blatt;Anzahl;1;Blätter
Hdv.;Handvoll;Anzahl;1;Händevoll
Blk.;Block;Anzahl;1;Blöcke
Schb.;Scheibe;Anzahl;1;Scheiben
Wrf.;Würfel;Anzahl;1;Würfel
Zw.;Zweig;Anzahl;1;Zweige
Krn.;Korn;Anzahl;1;Körner
Str.;Streifen;Anzahl;1;Streifen
Rgl.;Riegel;Anzahl;1;Riegel
Hf.;Haufen;Anzahl;1;Haufen
Blch.;Bällchen;Anzahl;1;Bällchen
Wrp.;Wrap;Anzahl;1;Wraps
Kps.;Kapsel;Anzahl;1;Kapseln
Strk.;Strunk;Anzahl;1;Strünke
Stau.;Staude;Anzahl;1;Stauden
Tll.;Teller;Anzahl;1;Teller
Pkg.;Packung;Einkauf;1;Packungen
Btl.;Beutel;Einkauf;1;Beutel
Nz.;Netz;Einkauf;1;Netze
Bd.;Bund;Einkauf;1;Bünde
Sch.;Schale;Einkauf;1;Schalen
Tb.;Tube;Einkauf;1;Tuben
Fl.;Flaschen;Einkauf;1;Flasche
Ds.;Dose;Einkauf;1;Dosen
Sck.;Sack;Einkauf;1;Säcke
Tpf.;Topf;Einkauf;1;Töpfe
gCO2;Gramm Kohlendioxid;Emission;1;Gramm Kohlendioxid
